Gene ID	SYMBOL	Fold Change(T/S)	q-value(%)	Component
202284_s_at	CDKN1A	0.186	0	Stroma
238478_at	BNC2	0.197	0	Stroma
211909_x_at	PTGER3	0.201	0	Stroma
201508_at	IGFBP4	0.147	0	Stroma
219772_s_at	SMPX	0.169	0.09	Stroma
206615_s_at	ADAM22	0.264	0.09	Stroma
212535_at	MEF2A	0.39	0.09	Stroma
207379_at	EDIL3	0.155	0.09	Stroma
205700_at	HSD17B6	0.199	0.09	Stroma
201505_at	LAMB1	0.118	0.09	Stroma
230163_at	LOC143381	0.171	0.09	Stroma
241864_x_at	PPP4R2	0.277	0.09	Stroma
220198_s_at	EIF5A2	0.331	0.09	Stroma
224856_at	FKBP5	0.379	0.09	Stroma
228850_s_at		0.285	0.09	Stroma
208422_at	MSR1	0.269	0.09	Stroma
216081_at	LAMA4	0.134	0.09	Stroma
210986_s_at	TPM1	0.248	0.09	Stroma
221814_at	GPR124	0.115	0.09	Stroma
213238_at	ATP10D	0.269	0.09	Stroma
236859_at	RUNX2	0.181	0.09	Stroma
231672_at		0.394	0.09	Stroma
1555766_a_at	GNG2	0.156	0.09	Stroma
221044_s_at	TRIM34 /// TRIM	0.379	0.09	Stroma
236901_at	ADAMTS2	0.204	0.09	Stroma
203477_at	COL15A1	0.09	0.09	Stroma
231202_at	ALDH1L2	0.155	0.09	Stroma
209348_s_at	MAF	0.131	0.09	Stroma
227566_at	HNT	0.068	0.09	Stroma
213069_at	HEG1	0.206	0.09	Stroma
213539_at	CD3D	0.184	0.09	Stroma
206702_at	TEK	0.195	0.09	Stroma
230130_at	SLIT2	0.275	0.09	Stroma
209285_s_at	C3orf63	0.491	0.09	Stroma
206715_at	TFEC	0.262	0.09	Stroma
225681_at	CTHRC1	0.161	0.09	Stroma
202747_s_at	ITM2A	0.14	0.09	Stroma
1552807_a_at	SIGLEC10	0.426	0.09	Stroma
209813_x_at	TRGC2 /// TRG	0.285	0.09	Stroma
206488_s_at	CD36	0.164	0.09	Stroma
201668_x_at	MARCKS	0.25	0.09	Stroma
210374_x_at	PTGER3	0.213	0.09	Stroma
205206_at	KAL1	0.119	0.09	Stroma
238041_at	TCF12	0.357	0.09	Stroma
204619_s_at	CSPG2	0.078	0.09	Stroma
212796_s_at	TBC1D2B	0.275	0.09	Stroma
205960_at	PDK4	0.352	0.09	Stroma
226099_at	ELL2	0.142	0.09	Stroma
201852_x_at	COL3A1	0.104	0.09	Stroma
202450_s_at	CTSK	0.067	0.09	Stroma
203761_at	SLA	0.293	0.09	Stroma
223922_x_at	MS4A6A	0.186	0.09	Stroma
221541_at	CRISPLD2	0.065	0.09	Stroma
222899_at	ITGA11	0.088	0.09	Stroma
201744_s_at	LUM	0.148	0.09	Stroma
1559965_at	LOC646345	0.103	0.09	Stroma
210815_s_at	CALCRL	0.197	0.09	Stroma
227662_at	SYNPO2	0.117	0.09	Stroma
207346_at	STX2	0.435	0.09	Stroma
232898_at	DAB2	0.099	0.09	Stroma
215016_x_at	DST	0.116	0.09	Stroma
213139_at	SNAI2	0.08	0.09	Stroma
218976_at	DNAJC12	0.389	0.09	Stroma
230741_at		0.208	0.09	Stroma
210329_s_at	SGCD	0.206	0.09	Stroma
201307_at	11-Sep	0.249	0.09	Stroma
223393_s_at	TSHZ3	0.198	0.09	Stroma
212940_at	COL6A1	0.224	0.09	Stroma
212587_s_at	PTPRC	0.242	0.09	Stroma
202429_s_at	PPP3CA	0.457	0.09	Stroma
223583_at	TNFAIP8L2	0.474	0.09	Stroma
209230_s_at	P8	0.31	0.09	Stroma
224357_s_at	MS4A4A	0.179	0.09	Stroma
204400_at	EFS	0.21	0.09	Stroma
207574_s_at	GADD45B	0.351	0.14	Stroma
226186_at	TMOD2	0.272	0.14	Stroma
231175_at	C6orf65	0.155	0.14	Stroma
214200_s_at	COL6A1	0.253	0.14	Stroma
203766_s_at	LMOD1	0.15	0.14	Stroma
207704_s_at	GAS7	0.21	0.14	Stroma
209960_at	HGF	0.221	0.14	Stroma
225922_at	KIAA1450	0.264	0.14	Stroma
209906_at	C3AR1	0.259	0.14	Stroma
212354_at	SULF1	0.204	0.14	Stroma
214446_at	ELL2	0.196	0.14	Stroma
223690_at	LTBP2	0.243	0.14	Stroma
209365_s_at	ECM1	0.117	0.14	Stroma
240556_at	DCN	0.189	0.14	Stroma
204793_at	GPRASP1	0.21	0.14	Stroma
201058_s_at	MYL9	0.305	0.14	Stroma
212067_s_at	C1R /// LOC643676	0.291	0.14	Stroma
223551_at	PKIB	0.45	0.14	Stroma
232687_at		0.406	0.14	Stroma
202994_s_at	FBLN1	0.165	0.14	Stroma
204236_at	FLI1	0.218	0.14	Stroma
217757_at	A2M	0.226	0.14	Stroma
207386_at	CYP7B1	0.152	0.14	Stroma
214460_at	LSAMP	0.196	0.14	Stroma
212632_at	STX7	0.487	0.14	Stroma
1569003_at	TMEM49	0.316	0.14	Stroma
217892_s_at	LIMA1	0.258	0.14	Stroma
229623_at	FLJ12993	0.208	0.14	Stroma
209101_at	CTGF	0.137	0.14	Stroma
205786_s_at	ITGAM	0.167	0.14	Stroma
219655_at	C7orf10	0.127	0.14	Stroma
229670_at		0.245	0.14	Stroma
1557905_s_at	CD44	0.3	0.14	Stroma
229225_at	NRP2	0.177	0.14	Stroma
221447_s_at	GLT8D2	0.137	0.14	Stroma
232217_at	C6orf188	0.174	0.14	Stroma
208983_s_at	PECAM1	0.149	0.14	Stroma
220146_at	TLR7	0.137	0.14	Stroma
210757_x_at	DAB2	0.12	0.14	Stroma
203501_at	PGCP	0.313	0.14	Stroma
202007_at	NID1	0.131	0.14	Stroma
235874_at	PRSS35	0.312	0.14	Stroma
205270_s_at	LCP2	0.301	0.14	Stroma
228501_at	GALNTL2	0.152	0.14	Stroma
217430_x_at	COL1A1	0.183	0.14	Stroma
1558647_at	SH3D19	0.269	0.14	Stroma
227295_at	IKIP	0.308	0.14	Stroma
224148_at		0.19	0.14	Stroma
213943_at	TWIST1	0.107	0.14	Stroma
224833_at	ETS1	0.283	0.14	Stroma
243957_at	LOC645032	0.246	0.14	Stroma
235267_at	LOC402560	0.157	0.14	Stroma
222895_s_at	BCL11B	0.246	0.14	Stroma
227761_at	MYO5A	0.28	0.14	Stroma
205741_s_at	DTNA	0.398	0.14	Stroma
202947_s_at	GYPC	0.308	0.14	Stroma
228228_at	MGC15476	0.202	0.14	Stroma
205789_at	CD1D	0.388	0.14	Stroma
229367_s_at	GIMAP6	0.231	0.14	Stroma
205712_at	PTPRD	0.206	0.14	Stroma
207031_at	BAPX1	0.276	0.14	Stroma
228555_at	CAMK2D	0.275	0.14	Stroma
235368_at	ADAMTS5	0.184	0.14	Stroma
205285_s_at	FYB	0.2	0.14	Stroma
201560_at	CLIC4	0.418	0.14	Stroma
224396_s_at	ASPN	0.179	0.14	Stroma
214511_x_at	FCGR1A /// LOC440	0.181	0.14	Stroma
212344_at	SULF1	0.141	0.14	Stroma
1555778_a_at	POSTN	0.127	0.14	Stroma
241442_at	DAAM2	0.308	0.14	Stroma
1556283_s_at	FGFR1OP2	0.318	0.14	Stroma
229487_at		0.226	0.14	Stroma
238575_at	OSBPL6	0.247	0.14	Stroma
235593_at	ZFHX1B	0.213	0.14	Stroma
223595_at	TMEM133	0.147	0.14	Stroma
211742_s_at	EVI2B	0.191	0.14	Stroma
214677_x_at	IGL@ /// IGLC1 /// IG	0.068	0.14	Stroma
1557531_a_at	C10orf55	0.484	0.14	Stroma
243885_x_at	GFM1	0.278	0.14	Stroma
204396_s_at	GRK5	0.272	0.14	Stroma
204111_at	HNMT	0.211	0.14	Stroma
209732_at	CLEC2B	0.134	0.14	Stroma
225163_at	FRMD4A	0.298	0.14	Stroma
210571_s_at	CMAH	0.092	0.14	Stroma
227346_at	ZNFN1A1	0.206	0.14	Stroma
226641_at	ANKRD44	0.222	0.14	Stroma
223280_x_at	MS4A6A	0.188	0.14	Stroma
223502_s_at	TNFSF13B	0.264	0.14	Stroma
225162_at	SH3D19	0.186	0.14	Stroma
235891_at		0.218	0.14	Stroma
218469_at	GREM1	0.156	0.14	Stroma
239336_at	THBS1	0.126	0.14	Stroma
221942_s_at	GUCY1A3	0.194	0.14	Stroma
228636_at	BHLHB5	0.129	0.14	Stroma
1568619_s_at	LOC162073	0.416	0.14	Stroma
227486_at	NT5E	0.109	0.14	Stroma
205574_x_at	BMP1	0.335	0.14	Stroma
207426_s_at	TNFSF4	0.14	0.14	Stroma
224823_at	MYLK	0.182	0.28	Stroma
230228_at	FLJ35258	0.281	0.28	Stroma
206120_at	CD33	0.448	0.28	Stroma
1559902_at	MKL1	0.49	0.28	Stroma
233365_at	PRKG1	0.38	0.28	Stroma
235746_s_at	PLA2R1	0.137	0.28	Stroma
241879_at		0.455	0.28	Stroma
204677_at	CDH5	0.256	0.28	Stroma
205611_at	TNFSF12	0.36	0.28	Stroma
207119_at	PRKG1	0.092	0.28	Stroma
213428_s_at	COL6A1	0.135	0.28	Stroma
213397_x_at	RNASE4	0.223	0.28	Stroma
203243_s_at	PDLIM5	0.138	0.28	Stroma
228234_at	TICAM2	0.226	0.28	Stroma
236280_at		0.301	0.28	Stroma
224917_at	MIRN21	0.37	0.28	Stroma
214043_at	PTPRD	0.105	0.28	Stroma
235131_at	RHOJ	0.261	0.28	Stroma
221651_x_at	IGKC /// IGKV1-5 ///	0.078	0.28	Stroma
221671_x_at	IGKC /// IGKV1-5 ///	0.085	0.28	Stroma
209604_s_at	GATA3	0.276	0.28	Stroma
202760_s_at	AKAP2 /// PALM2-AK	0.293	0.28	Stroma
212985_at		0.366	0.28	Stroma
236304_at		0.27	0.28	Stroma
229307_at	ANKRD28	0.358	0.28	Stroma
209501_at	CDR2	0.385	0.28	Stroma
238050_at		0.192	0.28	Stroma
223599_at	TRIM6	0.189	0.28	Stroma
224341_x_at	TLR4	0.307	0.28	Stroma
214669_x_at	IGKC	0.105	0.28	Stroma
211518_s_at	BMP4	0.264	0.28	Stroma
204894_s_at	AOC3	0.209	0.28	Stroma
200795_at	SPARCL1	0.093	0.28	Stroma
203508_at	TNFRSF1B	0.315	0.28	Stroma
1554569_a_at	CUGBP2	0.38	0.28	Stroma
213362_at	PTPRD	0.261	0.28	Stroma
203562_at	FEZ1	0.202	0.28	Stroma
244026_at	ELL2	0.349	0.28	Stroma
202237_at	NNMT	0.346	0.28	Stroma
205381_at	LRRC17	0.241	0.28	Stroma
229504_at		0.22	0.28	Stroma
225337_at	ABHD2	0.44	0.28	Stroma
227266_s_at	FYB	0.169	0.28	Stroma
219386_s_at	SLAMF8	0.383	0.28	Stroma
211005_at	LAT	0.31	0.28	Stroma
236640_at	LOC399959	0.412	0.28	Stroma
1560169_at	PIP5K1B	0.204	0.28	Stroma
206481_s_at	LDB2	0.108	0.28	Stroma
227646_at		0.214	0.28	Stroma
209735_at	ABCG2	0.468	0.28	Stroma
207277_at	CD209	0.196	0.28	Stroma
225913_at	KIAA2002	0.407	0.28	Stroma
202404_s_at	COL1A2	0.218	0.28	Stroma
220132_s_at	CLEC2D	0.341	0.28	Stroma
201137_s_at	HLA-DPB1	0.337	0.28	Stroma
235631_at		0.094	0.28	Stroma
239431_at	TICAM2	0.318	0.28	Stroma
212658_at	LHFPL2	0.43	0.28	Stroma
203923_s_at	CYBB	0.27	0.28	Stroma
201426_s_at	VIM	0.268	0.28	Stroma
202759_s_at	AKAP2 /// PALM2-AK	0.293	0.28	Stroma
214212_x_at	PLEKHC1	0.456	0.28	Stroma
215121_x_at	IGL@ /// IGLC1 /// IG	0.108	0.28	Stroma
212464_s_at	FN1	0.194	0.28	Stroma
202995_s_at	FBLN1	0.195	0.28	Stroma
230207_s_at	DOCK5	0.335	0.28	Stroma
213411_at		0.307	0.28	Stroma
235296_at	EIF5A2	0.148	0.28	Stroma
233031_at	ZFHX1B	0.409	0.28	Stroma
213764_s_at	MFAP5	0.114	0.28	Stroma
227376_at		0.176	0.28	Stroma
219514_at	ANGPTL2	0.333	0.28	Stroma
205304_s_at	KCNJ8	0.151	0.28	Stroma
206026_s_at	TNFAIP6	0.179	0.28	Stroma
202953_at	C1QB	0.2	0.28	Stroma
213737_x_at	GOLGA8G /// GOLG	0.359	0.28	Stroma
209606_at	PSCDBP	0.212	0.28	Stroma
214701_s_at	FN1	0.173	0.28	Stroma
1562610_at		0.227	0.28	Stroma
228368_at	ARHGAP20	0.179	0.28	Stroma
224560_at	TIMP2	0.234	0.28	Stroma
208790_s_at	PTRF	0.173	0.28	Stroma
220504_at	KERA	0.185	0.28	Stroma
204787_at	VSIG4	0.259	0.28	Stroma
1552721_a_at	FGF1	0.219	0.28	Stroma
210133_at	CCL11	0.233	0.28	Stroma
219478_at	WFDC1	0.254	0.28	Stroma
223287_s_at	FOXP1	0.249	0.28	Stroma
213010_at	PRKCDBP	0.298	0.28	Stroma
231776_at	EOMES	0.224	0.28	Stroma
215937_at	PTGDR	0.236	0.28	Stroma
215379_x_at	IGL@ /// IGLC1 /// IG	0.123	0.28	Stroma
222457_s_at	LIMA1	0.269	0.28	Stroma
230750_at		0.23	0.28	Stroma
219607_s_at	MS4A4A	0.151	0.28	Stroma
228479_at		0.32	0.28	Stroma
227235_at	GUCY1A3	0.229	0.28	Stroma
37408_at	MRC2	0.202	0.28	Stroma
219628_at	WIG1	0.419	0.28	Stroma
219410_at	TMEM45A	0.185	0.09	Stroma
219115_s_at	IL20RA	0.131	0.09	Stroma
204642_at	EDG1	0.322	0.09	Stroma
218854_at	SART2	0.149	0.09	Stroma
219779_at	ZFHX4	0.107	0.09	Stroma
228740_at		0.186	0.09	Stroma
217763_s_at	RAB31	0.126	0.09	Stroma
209879_at	SELPLG	0.281	0.09	Stroma
209138_x_at	IGL@	0.082	0.09	Stroma
219572_at	CADPS2	0.122	0.09	Stroma
213258_at	TFPI	0.156	0.09	Stroma
225502_at	DOCK8	0.312	0.09	Stroma
232544_at	LOC255130	0.38	0.09	Stroma
201288_at	ARHGDIB	0.42	0.09	Stroma
234994_at	KIAA1913	0.079	0.09	Stroma
228863_at	LOC647248 ///	0.25	0.09	Stroma
227607_at	STAMBPL1	0.194	0.09	Stroma
225790_at	MSRB3	0.151	0.09	Stroma
209670_at	TRAC	0.298	0.09	Stroma
204588_s_at	SLC7A7	0.313	0.09	Stroma
219191_s_at	BIN2	0.331	0.09	Stroma
213193_x_at	TRBV19 /// TRB	0.179	0.09	Stroma
230680_at		0.492	0.09	Stroma
222880_at	AKT3	0.125	0.28	Stroma
226393_at	CYP2U1	0.343	0.28	Stroma
225793_at	LIX1L	0.315	0.28	Stroma
215391_at	MAP1A	0.274	0.28	Stroma
1565673_at	FCGR2A	0.226	0.28	Stroma
228128_x_at	PAPPA	0.125	0.28	Stroma
210833_at	PTGER3	0.144	0.28	Stroma
212828_at	SYNJ2	0.354	0.28	Stroma
213475_s_at	ITGAL	0.339	0.28	Stroma
1558972_s_at	C6orf190	0.346	0.28	Stroma
221900_at	COL8A2	0.186	0.28	Stroma
202388_at	RGS2	0.205	0.28	Stroma
210495_x_at	FN1	0.192	0.28	Stroma
235489_at	RHOJ	0.203	0.28	Stroma
206662_at	GLRX	0.284	0.28	Stroma
236361_at	GALNTL2	0.273	0.28	Stroma
231720_s_at	JAM3	0.403	0.28	Stroma
233072_at	NTNG2	0.357	0.28	Stroma
229404_at	TWIST2	0.435	0.28	Stroma
220002_at	KIF26B	0.151	0.28	Stroma
228094_at	AMICA1	0.283	0.28	Stroma
225558_at	GIT2	0.405	0.28	Stroma
213338_at	RIS1	0.118	0.28	Stroma
205907_s_at	OMD	0.101	0.28	Stroma
210356_x_at	MS4A1	0.347	0.28	Stroma
219901_at	FGD6	0.286	0.28	Stroma
203231_s_at	ATXN1	0.34	0.28	Stroma
218805_at	GIMAP5	0.183	0.28	Stroma
226766_at	ROBO2	0.231	0.28	Stroma
202877_s_at	CD93	0.331	0.28	Stroma
210915_x_at	TRBV19 /// TRB	0.21	0.28	Stroma
205804_s_at	TRAF3IP3	0.337	0.28	Stroma
238067_at	RP11-321G1.1	0.395	0.28	Stroma
1555229_a_at	C1S	0.232	0.28	Stroma
219700_at	PLXDC1	0.153	0.38	Stroma
222862_s_at	AK5	0.235	0.38	Stroma
212939_at	COL6A1	0.213	0.38	Stroma
225016_at	APCDD1	0.263	0.38	Stroma
201262_s_at	BGN	0.164	0.38	Stroma
228827_at		0.097	0.38	Stroma
208226_x_at	ADAM22	0.212	0.38	Stroma
244661_at		0.265	0.38	Stroma
204227_s_at	TK2	0.43	0.38	Stroma
203387_s_at	TBC1D4	0.316	0.38	Stroma
205802_at	TRPC1	0.275	0.38	Stroma
218113_at	TMEM2	0.249	0.38	Stroma
226057_at	CDGAP	0.23	0.38	Stroma
211602_s_at	TRPC1	0.269	0.38	Stroma
1569739_at	LOC221946	0.401	0.38	Stroma
1559033_at	LOC255167	0.223	0.38	Stroma
239989_at	C9orf39	0.458	0.38	Stroma
229530_at	GUCY1A3	0.313	0.38	Stroma
241616_at	CD55	0.336	0.38	Stroma
225784_s_at	KIAA1166	0.484	0.38	Stroma
213817_at		0.254	0.38	Stroma
200762_at	DPYSL2	0.322	0.38	Stroma
1560425_s_at	PTPRD	0.337	0.38	Stroma
226743_at	SLFN11	0.249	0.38	Stroma
203414_at	MMD	0.33	0.38	Stroma
215049_x_at	CD163	0.219	0.38	Stroma
209651_at	TGFB1I1	0.123	0.38	Stroma
231947_at	MYCT1	0.233	0.38	Stroma
232073_at	PPFIA2	0.449	0.38	Stroma
205291_at	IL2RB	0.249	0.38	Stroma
211776_s_at	EPB41L3	0.24	0.38	Stroma
222344_at	C5orf13	0.422	0.38	Stroma
209747_at	TGFB3	0.204	0.38	Stroma
216994_s_at	RUNX2	0.271	0.38	Stroma
206220_s_at	RASA3	0.403	0.38	Stroma
49452_at	ACACB	0.429	0.38	Stroma
231259_s_at		0.249	0.38	Stroma
221210_s_at	NPL	0.282	0.38	Stroma
220088_at	C5AR1	0.233	0.38	Stroma
209210_s_at	PLEKHC1	0.417	0.38	Stroma
225725_at		0.341	0.38	Stroma
223475_at	CRISPLD1	0.203	0.38	Stroma
224793_s_at	TGFBR1	0.428	0.14	Stroma
244108_at	SYNPO2	0.313	0.14	Stroma
227013_at	LATS2	0.393	0.14	Stroma
224356_x_at	MS4A6A	0.2	0.14	Stroma
1557286_at		0.232	0.14	Stroma
209539_at	ARHGEF6	0.255	0.14	Stroma
204122_at	TYROBP	0.288	0.14	Stroma
34210_at	CD52	0.26	0.14	Stroma
229529_at	TCF21	0.269	0.14	Stroma
231766_s_at	COL12A1	0.328	0.14	Stroma
201496_x_at	MYH11	0.26	0.14	Stroma
227210_at		0.327	0.14	Stroma
224550_s_at	MRVI1	0.177	0.14	Stroma
235074_at	SPRED1	0.394	0.14	Stroma
214445_at	ELL2	0.174	0.14	Stroma
221060_s_at	TLR4	0.221	0.14	Stroma
230231_at		0.193	0.14	Stroma
213002_at	MARCKS	0.333	0.14	Stroma
210135_s_at	SHOX2	0.215	0.14	Stroma
229280_s_at	FLJ22536	0.282	0.14	Stroma
239185_at	ABCA9	0.344	0.14	Stroma
206377_at	FOXF2	0.265	0.14	Stroma
231579_s_at	TIMP2	0.258	0.14	Stroma
204344_s_at	SEC23A	0.387	0.38	Stroma
227553_at	NDEL1	0.392	0.38	Stroma
1555728_a_at	MS4A4A	0.148	0.38	Stroma
203708_at	PDE4B	0.284	0.38	Stroma
229285_at	RNASEL	0.298	0.38	Stroma
208227_x_at	ADAM22	0.259	0.38	Stroma
235666_at		0.281	0.38	Stroma
229937_x_at	LILRB1	0.246	0.38	Stroma
206528_at	TRPC6	0.433	0.38	Stroma
218380_at	NALP1	0.255	0.38	Stroma
219358_s_at	CENTA2	0.376	0.38	Stroma
216442_x_at	FN1	0.201	0.38	Stroma
210139_s_at	PMP22	0.196	0.38	Stroma
227095_at	LEPR	0.456	0.38	Stroma
227468_at	CPT1C	0.49	0.38	Stroma
221268_s_at	SGPP1	0.403	0.38	Stroma
204682_at	LTBP2	0.251	0.38	Stroma
226518_at	KCTD10	0.373	0.38	Stroma
209324_s_at	RGS16	0.272	0.38	Stroma
220990_s_at	TMEM49 /// MIRN21	0.478	0.38	Stroma
1557176_a_at	C14orf37	0.258	0.38	Stroma
238732_at	COL24A1	0.171	0.38	Stroma
216950_s_at	FCGR1A	0.266	0.38	Stroma
215719_x_at	FAS	0.416	0.38	Stroma
201308_s_at	11-Sep	0.27	0.38	Stroma
87100_at	ABHD2	0.33	0.38	Stroma
225353_s_at	C1QC	0.3	0.38	Stroma
1556209_at	CLEC2B	0.148	0.38	Stroma
1553856_s_at	P2RY10	0.295	0.38	Stroma
211171_s_at	PDE10A	0.448	0.38	Stroma
206118_at	STAT4	0.245	0.38	Stroma
208240_s_at	FGF1	0.214	0.38	Stroma
209699_x_at	AKR1C2	0.416	0.38	Stroma
241435_at	ETS1	0.273	0.38	Stroma
52651_at	COL8A2	0.192	0.38	Stroma
243946_at		0.228	0.38	Stroma
228188_at		0.465	0.38	Stroma
203934_at	KDR	0.197	0.38	Stroma
231993_at		0.1	0.38	Stroma
209835_x_at	CD44	0.376	0.38	Stroma
208747_s_at	C1S	0.256	0.38	Stroma
226611_s_at	PRR6	0.244	0.38	Stroma
226875_at	DOCK11	0.215	0.38	Stroma
235897_at	COPZ2	0.143	0.38	Stroma
203645_s_at	CD163	0.209	0.38	Stroma
213125_at	OLFML2B	0.243	0.38	Stroma
204924_at	TLR2	0.329	0.38	Stroma
208788_at	ELOVL5	0.408	0.38	Stroma
230410_at	NRP2	0.282	0.38	Stroma
210365_at	RUNX1	0.384	0.38	Stroma
221840_at	PTPRE	0.365	0.38	Stroma
208868_s_at	GABARAPL1	0.378	0.38	Stroma
204141_at	TUBB2A	0.348	0.38	Stroma
206908_s_at	CLDN11	0.35	0.38	Stroma
228224_at	PRELP	0.161	0.38	Stroma
228057_at	DDIT4L	0.15	0.38	Stroma
221698_s_at	CLEC7A	0.278	0.38	Stroma
1560156_at	CLEC2D	0.406	0.38	Stroma
223667_at	FKBP7	0.234	0.38	Stroma
201185_at	HTRA1	0.208	0.38	Stroma
200952_s_at	CCND2	0.165	0.38	Stroma
222877_at	NRP2	0.195	0.38	Stroma
227780_s_at		0.263	0.38	Stroma
232805_at	COL11A1	0.136	0.38	Stroma
210176_at	TLR1	0.331	0.38	Stroma
1552935_at	ZCCHC5	0.306	0.38	Stroma
213765_at	MFAP5	0.107	0.38	Stroma
202555_s_at	MYLK	0.168	0.38	Stroma
232914_s_at	SYTL2	0.213	0.38	Stroma
227099_s_at	LOC387763	0.188	0.38	Stroma
201289_at	CYR61	0.167	0.38	Stroma
205803_s_at	TRPC1	0.257	0.38	Stroma
201667_at	GJA1	0.152	0.38	Stroma
201080_at	PIP5K2B	0.485	0.38	Stroma
1559280_a_at		0.241	0.38	Stroma
234996_at		0.274	0.38	Stroma
218309_at	CAMK2N1	0.208	0.28	Stroma
205782_at	FGF7	0.123	0.28	Stroma
209047_at	AQP1	0.167	0.28	Stroma
213560_at	GADD45B	0.364	0.28	Stroma
201958_s_at	PPP1R12B	0.228	0.28	Stroma
232095_at	SRGAP2	0.37	0.28	Stroma
215076_s_at	COL3A1	0.182	0.28	Stroma
1561141_at		0.21	0.28	Stroma
211430_s_at	IGH@ /// IGHG1 /// I	0.068	0.28	Stroma
228424_at	NAALADL1	0.457	0.28	Stroma
216918_s_at	DST	0.335	0.28	Stroma
212014_x_at	CD44	0.381	0.28	Stroma
223492_s_at	LRRFIP1	0.294	0.28	Stroma
201438_at	COL6A3	0.143	0.28	Stroma
202746_at	ITM2A	0.139	0.28	Stroma
227265_at	KIAA1505	0.232	0.28	Stroma
233257_at	ZFHX4	0.464	0.28	Stroma
214467_at	GPR65	0.293	0.28	Stroma
226694_at	AKAP2 /// PALM2-AK	0.286	0.28	Stroma
243756_at	KIAA0960	0.154	0.28	Stroma
224795_x_at	IGKC /// IGKV1-5 ///	0.085	0.28	Stroma
206167_s_at	ARHGAP6	0.346	0.28	Stroma
228766_at		0.137	0.28	Stroma
200784_s_at	LRP1	0.372	0.51	Stroma
225388_at	TSPAN5	0.292	0.51	Stroma
205116_at	LAMA2	0.357	0.51	Stroma
208981_at	PECAM1	0.19	0.51	Stroma
210355_at	PTHLH	0.308	0.51	Stroma
201720_s_at	LAPTM5	0.352	0.51	Stroma
238125_at	ADAMTS16	0.321	0.51	Stroma
243366_s_at	CERKL	0.287	0.51	Stroma
204646_at	DPYD	0.191	0.51	Stroma
219602_s_at	FAM38B	0.185	0.51	Stroma
217279_x_at	MMP14	0.401	0.51	Stroma
239108_at	MLSTD1	0.476	0.51	Stroma
200878_at	EPAS1	0.307	0.51	Stroma
1552288_at		0.278	0.51	Stroma
205758_at	CD8A	0.207	0.51	Stroma
207697_x_at	LILRB2	0.482	0.51	Stroma
218196_at	OSTM1	0.321	0.51	Stroma
228376_at	GGTA1	0.266	0.51	Stroma
203254_s_at	TLN1	0.328	0.51	Stroma
236341_at	CTLA4	0.378	0.51	Stroma
212253_x_at	DST	0.3	0.51	Stroma
219921_s_at	DOCK5	0.369	0.51	Stroma
230708_at	PRICKLE1	0.456	0.51	Stroma
228421_s_at	EFEMP1	0.178	0.51	Stroma
213602_s_at		0.28	0.51	Stroma
223027_at	SNX9	0.369	0.51	Stroma
227059_at	GPC6	0.21	0.51	Stroma
208460_at	GJA7	0.128	0.51	Stroma
225710_at		0.253	0.51	Stroma
239785_at	DZIP1L	0.364	0.51	Stroma
213510_x_at	LOC220594	0.499	0.51	Stroma
209447_at	SYNE1	0.179	0.51	Stroma
202191_s_at	GAS7	0.157	0.51	Stroma
206501_x_at	ETV1	0.243	0.51	Stroma
228703_at	P4HA3	0.321	0.51	Stroma
221282_x_at	RUNX2	0.369	0.51	Stroma
228101_at		0.457	0.51	Stroma
231987_at	DKFZp586C0721	0.265	0.51	Stroma
225147_at	PSCD3	0.404	0.51	Stroma
227568_at	HECTD2	0.433	0.51	Stroma
201312_s_at	SH3BGRL	0.479	0.51	Stroma
1555705_a_at	CMTM3	0.343	0.51	Stroma
214951_at	SLC26A10	0.341	0.51	Stroma
201981_at	PAPPA	0.35	0.51	Stroma
243502_at	GJA7	0.256	0.51	Stroma
205498_at	GHR	0.31	0.51	Stroma
238600_at	JAKMIP1	0.335	0.51	Stroma
205348_s_at	DYNC1I1	0.328	0.51	Stroma
243140_at	ACTA2	0.239	0.51	Stroma
201843_s_at	EFEMP1	0.174	0.51	Stroma
226701_at	GJA5	0.221	0.51	Stroma
221928_at	ACACB	0.469	0.51	Stroma
232771_at	NRK	0.263	0.51	Stroma
239461_at	GALNTL2	0.368	0.51	Stroma
202975_s_at	RHOBTB3	0.155	0.51	Stroma
216252_x_at	FAS	0.432	0.51	Stroma
223488_s_at	GNB4	0.271	0.51	Stroma
204151_x_at	AKR1C1	0.416	0.51	Stroma
223253_at	EPDR1	0.173	0.51	Stroma
221529_s_at	PLVAP	0.266	0.51	Stroma
204040_at	RNF144	0.324	0.51	Stroma
1562289_at		0.414	0.51	Stroma
226769_at	LOC387758	0.166	0.51	Stroma
211980_at	COL4A1	0.248	0.51	Stroma
204271_s_at	EDNRB	0.358	0.51	Stroma
204385_at	KYNU	0.292	0.51	Stroma
212624_s_at	CHN1	0.17	0.51	Stroma
219159_s_at	SLAMF7	0.254	0.51	Stroma
205801_s_at	RASGRP3	0.355	0.51	Stroma
219855_at	NUDT11	0.125	0.51	Stroma
239261_s_at	CORIN	0.389	0.51	Stroma
217263_x_at	RUNX1	0.355	0.51	Stroma
226028_at	ROBO4	0.195	0.51	Stroma
205488_at	GZMA	0.146	0.51	Stroma
229390_at	RP1-93H18.5	0.272	0.51	Stroma
238063_at	TMEM154	0.45	0.51	Stroma
